,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
0,84.0,270,84.0,31.5,8,13,7,12,14,14,5,11,8,7,10,14,9,13,10,16.899,6.452,11.701,0.562,0.249,0.75,0.332,6.201,10.952,0.566,3.749,4.876,0.769,2.525,9.224,11.749,0.475,0.724,2.025,1.65,2.225,6.0,3.514,12.149,0.15,3.75,0.023,0.051,0.451,6.049,10.474,0.578,0.125,0.426,0.293,60.941,60.804,7.925,3.825,9.274,0.427,0.275,0.648,0.424,3.55,8.625,0.412,0.35,0.924,0.379,2.827,7.026,0.402,0.376,0.677,0.555,1.9,3.1,5.0,1.7,4.7,6.4,0.61,0.064,0.417,8.8,32.0,20.4,2.9,1.2,6.0,10.6,22.9
1,79.5,235,82.0,29.0,8,12,9,10,12,9,13,9,11,6,15,13,6,15,11,8.17,3.097,7.023,0.45,0.122,0.488,0.25,2.978,6.537,0.456,1.854,2.291,0.809,1.779,6.758,8.537,0.951,0.756,1.512,1.559,2.879,2.049,5.56,4.828,0.0,2.123,0.05,0.096,0.521,2.367,5.367,0.441,0.561,1.072,0.523,51.163,50.814,7.902,3.831,8.536,0.463,0.246,0.442,0.557,3.583,8.099,0.442,0.317,0.512,0.619,3.147,7.267,0.433,0.121,0.318,0.381,-1.1,1.6,0.5,-0.2,2.4,2.2,0.509,0.069,0.326,7.7,29.1,18.4,5.9,1.5,5.6,16.3,16.9
2,80.0,235,83.0,24.5,17,6,14,14,9,16,11,7,16,8,13,6,11,13,11,14.882,5.913,10.0,0.594,0.059,0.117,0.504,5.852,9.883,0.592,3.0,4.559,0.658,1.676,5.324,7.0,0.736,1.03,0.823,1.236,2.471,1.146,3.967,11.353,0.059,3.206,0.117,0.206,0.568,5.559,9.443,0.589,0.177,0.235,0.753,49.889,50.695,7.999,3.883,7.764,0.515,0.236,0.412,0.573,3.648,7.352,0.496,0.323,0.499,0.647,3.176,6.383,0.498,0.146,0.47,0.311,2.6,0.0,2.6,3.9,3.1,7.1,0.62,0.012,0.456,7.9,23.0,15.8,5.8,2.0,3.1,9.3,24.5
3,82.0,200,83.0,30.5,10,18,15,9,8,12,9,10,10,7,10,19,11,11,11,11.965,4.607,9.072,0.555,0.856,2.607,0.328,3.749,6.464,0.58,1.893,2.571,0.736,1.143,3.785,4.928,0.786,0.75,0.322,1.071,1.678,7.464,8.966,5.929,0.0,2.179,0.035,0.035,1.0,2.931,5.0,0.586,0.786,1.429,0.55,45.808,45.698,8.358,4.035,6.821,0.612,0.285,0.641,0.445,3.75,6.178,0.607,0.249,0.358,0.696,3.177,5.143,0.618,0.322,0.679,0.474,1.5,-2.3,-0.8,2.6,-2.4,0.2,0.586,0.287,0.283,5.7,18.4,12.2,5.6,1.7,1.4,9.5,22.4
4,81.0,230,85.25,27.0,11,7,11,6,16,9,14,11,11,13,10,8,16,9,11,12.955,4.978,8.203,0.607,0.0,0.137,0.0,4.978,8.068,0.617,3.001,4.272,0.702,2.022,6.388,8.41,0.84,0.773,0.704,1.112,2.524,8.615,2.726,9.772,0.182,3.07,0.295,0.454,0.65,4.591,7.341,0.625,0.091,0.273,0.333,49.957,50.304,8.135,4.049,8.115,0.502,0.044,0.34,0.129,4.0,7.772,0.515,0.16,0.389,0.411,3.703,7.0,0.529,0.137,0.384,0.357,2.6,0.9,3.5,4.5,2.9,7.4,0.642,0.017,0.521,8.8,28.8,18.6,5.3,1.5,2.6,9.9,20.0
5,80.0,235,86.25,28.5,14,11,10,9,9,14,4,12,12,12,5,12,8,9,11,16.453,6.407,11.252,0.57,0.021,0.044,0.477,6.386,11.208,0.57,3.615,4.751,0.761,1.5,5.978,7.478,0.701,1.0,1.501,1.613,2.59,6.909,3.44,12.137,0.0,3.409,0.021,0.047,0.447,6.045,10.5,0.576,0.317,0.658,0.482,50.341,50.637,7.296,3.567,7.75,0.471,0.159,0.478,0.333,3.41,7.273,0.469,0.364,0.637,0.571,2.817,6.136,0.459,0.226,0.501,0.451,2.4,1.2,3.5,0.3,3.4,3.6,0.617,0.004,0.422,6.8,26.3,16.7,5.0,2.0,5.9,10.8,26.5
6,79.5,230,82.25,31.5,6,13,16,12,17,6,6,15,6,13,5,16,9,9,11,11.214,4.048,8.834,0.549,1.596,4.048,0.394,2.454,4.786,0.513,1.523,2.025,0.752,2.31,6.998,9.308,0.501,0.43,1.143,0.977,2.74,3.738,11.229,3.619,0.094,1.784,0.022,0.022,1.0,1.787,3.214,0.556,0.642,1.548,0.415,57.064,56.913,10.523,5.165,9.856,0.534,0.189,0.452,0.418,4.977,9.406,0.529,0.451,0.594,0.759,4.31,8.427,0.511,0.215,0.381,0.564,0.7,-0.1,0.7,3.2,-0.1,3.0,0.577,0.458,0.229,8.4,26.3,17.2,2.7,0.8,3.6,9.1,16.6
7,81.0,225,86.0,33.0,13,12,14,10,8,15,9,9,8,8,9,12,3,13,12,15.512,6.365,11.002,0.595,0.365,0.854,0.427,5.999,10.146,0.591,2.415,3.682,0.656,1.827,5.466,7.293,0.389,1.025,1.757,1.341,2.608,4.195,4.963,11.171,0.0,2.706,0.074,0.074,1.0,5.512,9.292,0.593,0.414,0.78,0.531,55.777,56.058,7.611,3.706,9.245,0.411,0.195,0.854,0.228,3.511,8.391,0.418,0.266,0.462,0.576,2.902,7.073,0.41,0.341,0.853,0.4,1.7,1.0,2.7,3.9,6.9,10.8,0.614,0.078,0.335,7.5,21.3,14.6,2.4,1.8,5.9,9.6,22.5
8,82.0,230,89.0,28.0,15,12,8,6,17,11,12,12,9,12,13,13,13,14,12,18.099,7.172,12.439,0.577,0.022,0.073,0.301,7.146,12.367,0.578,3.733,5.367,0.696,2.538,9.046,11.584,0.856,1.293,1.024,1.608,2.658,-4.66,3.549,13.61,0.097,3.78,0.438,0.684,0.64,6.317,10.852,0.582,0.341,0.828,0.412,53.486,53.904,7.609,3.706,7.808,0.487,0.195,0.512,0.381,3.512,7.293,0.482,0.365,0.732,0.499,2.903,5.951,0.488,0.244,0.61,0.4,3.3,3.1,6.4,1.3,5.3,6.6,0.611,0.006,0.431,11.2,39.2,25.3,7.3,2.4,3.3,9.8,28.1
9,79.5,220,85.0,30.0,15,13,7,10,9,9,11,15,9,12,11,14,7,7,11,15.976,6.246,10.998,0.573,0.11,0.356,0.309,6.134,10.645,0.576,3.378,4.734,0.714,1.933,6.422,8.355,0.822,0.89,0.932,1.288,2.711,9.378,4.405,10.843,0.134,3.288,0.2,0.266,0.752,5.2,8.756,0.594,0.712,1.623,0.439,55.498,55.528,8.888,4.356,8.378,0.531,0.178,0.666,0.267,4.178,7.711,0.542,0.6,0.798,0.752,3.356,6.378,0.526,0.223,0.535,0.417,2.5,0.2,2.7,3.9,2.0,5.9,0.611,0.032,0.43,7.6,24.1,16.1,4.9,1.6,3.1,9.0,23.2
